,positive_prob,neutral_prob,negative_prob,topic_business,topic_cybersecurity,topic_ecommerce,topic_economics,topic_education,topic_engineering,topic_health,topic_investment,topic_literature,topic_other,topic_productivity,topic_realestate,topic_renewableenergy,topic_safety,topic_technology,topic_tennis,topic_weatherupdate,topic_environment,user_verified,followersCount,friendsCount,retweetCount,likeCount,survived,power_value
39,0.02322501,0.8702692,0.1065058,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,896.0,1009.0,0.0,0.0,1,0.0
40,0.046557963,0.41124627,0.54219574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,582.0,4046.0,0.0,0.0,1,0.0
41,0.33808124,0.61773056,0.04418827,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,454.0,392.0,0.0,0.0,1,0.0
42,0.03058472,0.89087325,0.07854196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
43,0.25556877,0.6313146,0.11311669,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,1887.0,973.0,0.0,0.0,1,0.0
44,0.0011493367,0.016610598,0.98224,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,212.0,753.0,0.0,2.0,1,30.0
45,0.006861545,0.19660892,0.79652953,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,1830.0,4566.0,0.0,1.0,1,15.0
46,0.031423077,0.8880957,0.08048126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
47,0.0060605197,0.2237801,0.77015936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,68.0,126.0,0.0,0.0,1,0.0
48,0.06437905,0.8907838,0.044837095,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,69.0,465.0,0.0,0.0,1,0.0
49,0.030805157,0.85646385,0.11273094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,69.0,465.0,0.0,0.0,1,0.0
50,0.45460314,0.46508613,0.080310695,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,48086.0,1867.0,0.0,10.0,1,200.0
51,0.33004385,0.53754115,0.13241495,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,71.0,87.0,0.0,1.0,1,15.0
52,0.03759457,0.8896965,0.07270898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
53,0.01525516,0.5683652,0.41637957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,29502.0,19986.0,1.0,1.0,1,25.0
54,0.012642863,0.28265664,0.70470047,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,142.0,167.0,1.0,1.0,1,25.0
55,0.34995776,0.53359,0.11645225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,142.0,167.0,0.0,0.0,1,0.0
56,0.0024100274,0.072404966,0.925185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,142.0,167.0,0.0,0.0,1,0.0
57,0.08086611,0.8704351,0.048698757,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,753.0,3931.0,0.0,3.0,1,45.0
58,0.5118348,0.44831273,0.039852478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,344.0,767.0,1.0,4.0,1,70.0
59,0.44351253,0.48854092,0.06794657,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,212.0,220.0,0.0,1.0,1,15.0
